part_name,cost_type,quantity,process,machine_power_w,process_time_min,process_time_h,total_time_min,total_time_h,
energy_kwh_per_part,energy_kwh_total,energy_price_eur_per_kwh,energy_cost_eur_per_part,energy_cost_eur_total,
machine_area_m2,area_daily_rate_eur_per_m2,area_cost_eur_for_machine,area_cost_eur_per_part,area_cost_eur_total,
labor_time_sec_per_part,labor_time_h_per_part,labor_time_sec_total,labor_time_h_total,hourly_wage_eur,labor_cost_eur_per_part,labor_cost_eur_total,
production_cost_eur_per_part,production_cost_eur_total,warehouse_id
Füße,energy,4,3D-Druck (Prusa MK4),80,20,0.333333,80,1.333333,0.0266667,0.1066667,0.42,0.0112,0.0448,,,,,,,,,,,,,,,
Haube,energy,1,3D-Druck (Prusa MK4),80,252,4.2,252,4.2,0.336,0.336,0.42,0.14112,0.14112,,,,,,,,,,,,,,,
Grundplatte,energy,1,Lasern (OMTech Max-1060 Laser),100,1.5,0.025,1.5,0.025,0.0025,0.0025,0.42,0.00105,0.00105,,,,,,,,,,,,,,,
Füße,area,4,3D-Druck (Prusa MK4),,,,,,,,,,0.28,30,8.25,0.0039663,0.0158654,,,,,,,,,,,
Haube,area,1,3D-Druck (Prusa MK4),,,,,,,,,,0.28,30,8.25,0.0158654,0.0158654,,,,,,,,,,,
Grundplatte,area,1,Lasern (OMTech Max-1060 Laser),,,,,,,,,,1.98,30,59.52,0.1144615,0.1144615,,,,,,,,,,,
Füße,labor,4,,,,,,,,,,,,,,,,,5.5188,0.001533,5.5188,0.05,19.3,0.03,0.89,,,
Haube,labor,1,,,,,,,,,,,,,,,,,9.288,0.00258,9.288,0.08,19.3,0.05,1.49,,,
Grundplatte,labor,1,,,,,,,,,,,,,,,,,16.4124,0.004559,16.4124,0.14,19.3,0.09,2.64,,,
Füße,summary,4,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.95,
Haube,summary,1,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.65,
Grundplatte,summary,1,,,,,,,,,,,,,,,,,,,,,,,,0.20,2.76,
