Bezeichnung,Karten-Nr.,Lagerplatz,Anlieferstelle,Verbraucher,Lieferant,Transporteinheit,Inhalt,Lagerdaten_ID,Bestand_Regal,Losgröße,PVB,KLT_Groesse
Steckverbindungen,1 von 2,101C-3-D,Assembly 2,Verpackung,Mouser Electronics Inc.,EG-21512,1000,001.1.000,0.0,1000.0,Assembly 2,KLT-3147
RFID-tag,1 von 2,101B-4-D,Supermarkt C7,Komissionierer,UWC,KLT-3147,44,004.1.000,12.0,44.0,Supermarkt,KLT-3147
Akku,1 von 4,101B-4-B,Supermarkt C8,Komissionierer,Amazon,KLT-3147,22,005.1.000,16.0,44.0,Supermarkt,KLT-3147
Akkukabel,1 von 2,101B-3-C,Supermarkt C1,Komissionierer,Amazon,KLT-3147,44,006.1.000; 014.1.000,58.0,44.0,Supermarkt,KLT-3147
Steuergerät,1 von 4,101B-3-B,Supermarkt C5,Komissionierer,n-Factory,KLT-3147,22,009.1.000,10.0,44.0,Supermarkt,KLT-3147
Motoreinheit,1 von 4,101B-4-A,Supermarkt C3,Komissionierer,RCTech,KLT-3147,88,010.1.000,0.0,89.0,,KLT-3147
Resiver Kabel,1 von 2,101B-3-A,Supermarkt C4,Komissionierer,Wecando,KLT-3147,44,016.1.000,8.0,44.0,Supermarkt,KLT-3147
Reciver,1 von 2,101B-4-C,Supermarkt C6,Komissionierer,Wecando,KLT-3147,44,017.1.000,10.0,44.0,Supermarkt,KLT-3147
Verpackung-Karton,1 von 2,101D-1,Assembly 2,Verpackung,Sebastian Meusch,EG-86/42 HG,20,021.1.000,35.0,22.0,Assembly 2,Kein KLT
Verpackung-Füllmaterial,1 von 2,101D-0,Assembly 2,Verpackung,IPS Karton,EG-86/42 HG,1,022.1.000,,1.0,Assembly 2,Kein KLT
Haube EVO2 weiss,1 von 4,101B-1-D,Supermarkt A6,Komissionierer,Formicore,KLT-4147,15,018.2.000,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 gelb,1 von 4,101B-1-C,Supermarkt A5,Komissionierer,Formicore,KLT-4147,15,018.2.001,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 rot,1 von 4,101B-1-A,Supermarkt B1,Komissionierer,Formicore,KLT-4147,15,018.2.002,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 grün,1 von 4,101B-2-D,Supermarkt B2,Komissionierer,Formicore,KLT-4147,15,018.2.003,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 blau,1 von 4,101B-2-C,Supermarkt B5,Komissionierer,Formicore,KLT-4147,15,018.2.004,7.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 braun,1 von 4,101B-2-B,Supermarkt B6,Komissionierer,Formicore,KLT-4147,15,018.2.005,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 orange,1 von 4,101B-1-B,Supermarkt B4,Komissionierer,Formicore,KLT-4147,15,018.2.006,0.0,15.0,Supermarkt,KLT-4147
HAUBE EVO2 schwarz,1 von 4,101B-2-A,Supermarkt B3,Komissionierer,Formicore,KLT-4147,15,018.2.007,3.0,15.0,Supermarkt,KLT-4147
Grundplatte EVO 2 Spartan weiss,1 von 2,101C-4-A,Supermarkt D1,Komissionierer,Formicore,KLT-4280,60,019.2.008,,66.0,Supermarkt,KLT-4280
Grundplatte EVO 2 Spartan blau,1 von 2,101C-4-B,Supermarkt D2,Komissionierer,Formicore,KLT-4280,60,019.2.010,,66.0,Supermarkt,KLT-4280
Grundplatte EVO 2 Spartan schwarz,1 von 2,101C-4-C,Supermarkt D3,Komissionierer,Formicore,KLT-4280,60,019.2.012,,66.0,Supermarkt,KLT-4280
Fuß EVO2 Spartan weiss,1 von 6,101A-0-A,Omron,Omron,Formicore,KLT-3147,32,020.2.000,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan gelb,1 von 6,101A-0-B,Omron,Omron,Formicore,KLT-3147,32,020.2.001,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan rot,1 von 6,101A-0-C,Omron,Omron,Formicore,KLT-3147,32,020.2.002,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan grün,1 von 6,101A-0-D,Omron,Omron,Formicore,KLT-3147,32,020.2.003,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan blau,1 von 6,101A-1-A,Omron,Omron,Formicore,KLT-3147,32,020.2.004,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan braun,1 von 6,101A-1-B,Omron,Omron,Formicore,KLT-3147,32,020.2.005,,32.0,Omron,KLT-3147
Fuß EVO2 Spartan orange,1 von 6,101A-1-C,Omron,Omron,Formicore,KLT-3147,32,020.2.006,,32.0,Omron,KLT-3147
