lfd. Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code_nextlap_raw,default_code,Einzelpreis_raw,Gesamtpreis_raw,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,warehouse_id
1,Kaufartikel,Kabelbinder,Kabelbinder 3.5mmx150mm,4 stk.,4 stk.,4 stk.,1,22,"0,02€/stk.","0,08€",4.0,4.0,4.0,stk.,0.02,€/stk.,0.08,000.1.000
2,Kaufartikel,Steckverbindungen,SRVO-4120B,7 stk.,7 stk.,7 stk.,2,14,"0,30€/stk.","2,10€",7.0,7.0,7.0,stk.,0.3,€/stk.,2.1,001.1.000
3,Kaufartikel,Rotoren Links,HQ Durable Prop 5X4.3X3V1S Links,2 stk.,2 stk.,2 stk.,3,L_23,"0,86€/stk.","1,72€",2.0,2.0,2.0,stk.,0.86,€/stk.,1.72,002.0.000
4,Kaufartikel,Rotoren Rechts,HQ Durable Prop 5X4.3X3V1S Rechts,2 stk.,2 stk.,2 stk.,4,R_23,"0,86€/stk.","1,72€",2.0,2.0,2.0,stk.,0.86,€/stk.,1.72,003.0.000
5,Kaufartikel,RFID-tag,BALLUF BIS M1B2-03_L,1 stk.,1 stk.,1 stk.,5,21,"4,50€/stk.","4,50€",1.0,1.0,1.0,stk.,4.5,€/stk.,4.5,004.1.000
6,Kaufartikel,Akku,2200mAh 50C 11.1V 24.52Wh Zeee,1 stk.,1 stk.,1 stk.,6,15,"18,07€/stk.","18,07€",1.0,1.0,1.0,stk.,18.07,€/stk.,18.07,005.1.000
7,Kaufartikel,Akkukabel,Anstecker an Akku (zweipolig),1 stk.,1 stk.,1 stk.,7,006.1.000,"0,95€/stk.","0,95€",1.0,1.0,1.0,stk.,0.95,€/stk.,0.95,006.1.000
8,Kaufartikel,Steuergerät,Mamba F405 MK2 kpl.,1 stk.,1 stk.,1 stk.,8,17,"84,90€/stk.","84,90€",1.0,1.0,1.0,stk.,84.9,€/stk.,84.9,009.1.000
9,Kaufartikel,Motor,XING-E Pro2207 2750kv,4 stk.,4 stk.,4 stk.,9,66,"16,90€/stk.","67,60€",4.0,4.0,4.0,stk.,16.9,€/stk.,67.6,011.1.000
10,Kaufartikel,Verlängerungskabel,Kabelverlängerung Motor (5cm),"30,00 cm","30,00 cm","30,00 cm",10,61,"0,50€/cm","15,00€",30.0,30.0,30.0,cm,0.5,€/cm,15.0,014.1.000
11,Kaufartikel,Schrumpfschläuche,Schrumpfschlauch,12 stk.,12 stk.,12 stk.,11,62,"0,01€/stk.","0,14€",12.0,12.0,12.0,stk.,0.01,€/stk.,0.14,015.1.000
12,Kaufartikel,Receiver Kabel,RUDOG ESC RX Cable Black 60mm),1 stk.,1 stk.,1 stk.,12,24,"3,99€/stk.","3,99€",1.0,1.0,1.0,stk.,3.99,€/stk.,3.99,016.1.000
