lfd. Nummer,ID Nummer,Artikelart,Benennung,Artikelbezeichnung,Menge EVO Spartan,Menge EVO Lightweight,Menge EVO Balance,default_code,Einzelpreis_raw,Gesamtpreis_raw,Packungspreis_raw,Packungsmenge,Kommentar,qty_spartan,qty_lightweight,qty_balance,qty_unit,unit_price_eur,unit_price_unit,total_price_eur,pack_price_eur,pack_price_unit,pack_qty,pack_qty_unit,warehouse_id
1,1.0,Kaufartikel,Kabelbinder,Kabelbinder 3.5mmx150mm,4 stk.,4 stk.,4 stk.,22,"0,02€/stk.","0,08€","",0,"passt",4.0,4.0,4.0,stk.,0.02,€/stk.,0.08,0,"",0,"",000.1.000
2,2.0,Kaufartikel,Steckverbindungen,SRVO-4120B,7 stk.,7 stk.,7 stk.,14,"0,30€/stk.","2,10€","",0,"passt",7.0,7.0,7.0,stk.,0.3,€/stk.,2.1,0,"",0,"",001.1.000
3,3.1.1,Lagerartikel,Rotoren Links,HQ Durable Prop 5X4.3X3V1S Links,2 stk.,2 stk.,2 stk.,L_23,"0,86€/stk.","1,72€","",0,"passt",2.0,2.0,2.0,stk.,0.86,€/stk.,1.72,0,"",0,"",002.0.000
4,3.1.2,Lagerartikel,Rotoren Rechts,HQ Durable Prop 5X4.3X3V1S Rechts,2 stk.,2 stk.,2 stk.,R_23,"0,86€/stk.","1,72€","",0,"passt",2.0,2.0,2.0,stk.,0.86,€/stk.,1.72,0,"",0,"",003.0.000
5,4.0,Kaufartikel,RFID-tag,BALLUF BIS M1B2-03_L,1 stk.,1 stk.,1 stk.,21,"4,50€/stk.","4,50€","",0,"passt",1.0,1.0,1.0,stk.,4.5,€/stk.,4.5,0,"",0,"",004.1.000
6,5.0,Kaufartikel,Akku,2200mAh 50C 11.1V 24.52Wh Zeee,1 stk.,1 stk.,1 stk.,15,"18,07€/stk.","18,07€","",0,"passt",1.0,1.0,1.0,stk.,18.07,€/stk.,18.07,0,"",0,"",005.1.000
7,6.0,Eigenfertigung,Elektronikeinheit,Elektronikeinheit,1 stk.,1 stk.,1 stk.,010.1.000,"","","",0,"1 Elektronikeinheit je Drohne",1.0,1.0,1.0,stk.,0,"",0,0,"",0,"",010.1.000
8,6.1,Kaufartikel,Lötzinn,Lötzinn 1.0mm 50g,"6,00 g","6,00 g","6,00 g",67,"0,07€/g","0,42€","",0,"passt",6.0,6.0,6.0,g,0.07,€/g,0.42,0,"",0,"",007.1.000
9,6.2,Kaufartikel,Akkukabel,Anstecker an Akku (zweipolig),1 stk.,1 stk.,1 stk.,006.1.000,"0,95€/stk.","0,95€","",0,"passt",1.0,1.0,1.0,stk.,0.95,€/stk.,0.95,0,"",0,"",006.1.000
10,6.3,Kaufartikel,Steuergerät,Mamba F405 MK2 kpl.,1 stk.,1 stk.,1 stk.,17,"84,90€/stk.","84,90€","",0,"",1.0,1.0,1.0,stk.,84.9,€/stk.,84.9,0,"",0,"",009.1.000
11,6.4,Kaufartikel,Motoreinheit,Motoreinheit iFlight.Xing.2207 2 kpl.,4 stk.,4 stk.,4 stk.,010.1.000,"","","",0,"besteht aus Motor, Motorschrauben, Motormuttern, Verlängerungskabel, Schrumpfschlauch, Lötzinn",4.0,4.0,4.0,stk.,0,"",0,0,"",0,"",010.1.000
12,6.4.1,Kaufartikel,Motor,XING-E Pro2207 2750kv,4 stk.,4 stk.,4 stk.,66,"16,90€/stk.","67,60€","",0,"passt",4.0,4.0,4.0,stk.,16.9,€/stk.,67.6,0,"",0,"",011.1.000
13,6.4.1.1,Lagerartikel,Motorschrauben,Motorschrauben für iFlight.Xing.2207 2,8 stk.,8 stk.,8 stk.,63,"0,08€/stk.","0,64€","",0,"Default-Wert",8.0,8.0,8.0,stk.,0.08,€/stk.,0.64,0,"",0,"",012.0.000
14,6.4.1.2,Lagerartikel,Motormuttern,Motormuttern für iFlight.Xing.2207 2,4 stk.,4 stk.,4 stk.,64,"0,05€/stk.","0,20€","",0,"Default-Wert",4.0,4.0,4.0,stk.,0.05,€/stk.,0.2,0,"",0,"",013.0.000
15,6.4.2,Kaufartikel,Verlängerungskabel,Kabelverlängerung Motor (5cm),"30,00 cm","30,00 cm","30,00 cm",61,"0,50€/cm","15,00€","",0,"passt",30.0,30.0,30.0,cm,0.5,€/cm,15.0,0,"",0,"",014.1.000
16,6.4.3,Kaufartikel,Schrumpfschläuche,Schrumpfschlauch,12 stk.,12 stk.,12 stk.,62,"0,01€/stk.","0,14€","",0,"passt",12.0,12.0,12.0,stk.,0.01,€/stk.,0.14,0,"",0,"",015.1.000
