id,default_code,name,type,categ_id/id,uom_id/id,uom_po_id/id,route_ids/id,work_instruction_code,routing_code,quality_control_code,logistics_area,warehouse_location,warehouse_id,circular_tag
prod_020_2_000,020.2.000,Fuß EVO2 Spartan weiss,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-0-A,020.2.000,reparable
prod_020_2_001,020.2.001,Fuß EVO2 Spartan gelb,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-0-B,020.2.001,reparable
prod_020_2_002,020.2.002,Fuß EVO2 Spartan rot,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-0-C,020.2.002,reparable
prod_020_2_003,020.2.003,Fuß EVO2 Spartan grün,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-0-D,020.2.003,reparable
prod_020_2_004,020.2.004,Fuß EVO2 Spartan blau,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-1-A,020.2.004,reparable
prod_020_2_005,020.2.005,Fuß EVO2 Spartan braun,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-1-B,020.2.005,reparable
prod_020_2_006,020.2.006,Fuß EVO2 Spartan orange,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-1-C,020.2.006,reparable
prod_020_2_007,020.2.007,Fuß EVO2 Spartan schwarz,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-1-D,020.2.007,reparable

prod_020_2_008,020.2.008,Fuß EVO2 Lightweight weiss,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-2-A,020.2.008,reparable
prod_020_2_009,020.2.009,Fuß EVO2 Lightweight gelb,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-2-B,020.2.009,reparable
prod_020_2_010,020.2.010,Fuß EVO2 Lightweight rot,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-2-C,020.2.010,reparable
prod_020_2_011,020.2.011,Fuß EVO2 Lightweight grün,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-2-D,020.2.011,reparable
prod_020_2_012,020.2.012,Fuß EVO2 Lightweight blau,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-3-A,020.2.012,reparable
prod_020_2_013,020.2.013,Fuß EVO2 Lightweight braun,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_030_02,AP_3DDRUCK,QC_FUESSE,Omron,101A-3-B,020.2.013,reparable
