id,default_code,name,type,categ_id/id,uom_id/id,uom_po_id/id,route_ids/id,work_instruction_code,routing_code,quality_control_code,logistics_area,warehouse_location,warehouse_id,circular_tag
prod_000_1_000,000.1.000,Kabelbinder,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Assembly 2,101B-3-D,000.1.000,
prod_001_1_000,001.1.000,Steckverbindungen,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Assembly 2,101C-3-D,001.1.000,
prod_002_0_000,002.0.000,Rotoren Links,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Assembly 1,101C-4-D,002.0.000,
prod_003_0_000,003.0.000,Rotoren Rechts,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Assembly 1,101C-4-D,003.0.000,
prod_025_1_000,025.1.000,Fernbedienung,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Assembly 2,101B-0-A,025.1.000,
prod_004_1_000,004.1.000,RFID-tag,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Supermarkt,101B-4-D,004.1.000,
prod_005_1_000,005.1.000,Akku,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Supermarkt,101B-4-B,005.1.000,
prod_006_1_000,006.1.000,Akkukabel,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Supermarkt,101B-3-C,006.1.000,
prod_009_1_000,009.1.000,Steuergerät,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,AA_060_070,AP_ELEKTRONIK,QC_ELEKTRONIK,Lötplatz,101B-3-B,009.1.000,reparable
prod_011_1_000,011.1.000,Motor,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,,,,,Supermarkt,101C-5-D,011.1.000,
prod_010_1_000,010.1.000,Motoreinheit,product,product_category_drohne,product.product_uom_unit,product.product_uom_unit,mrp_route_manufacture,AA_080,AP_MONTAGE_GEH,QC_MONTAGE,Assembly 2,101B-4-A,010.1.000,reparable
